,name,Unnamed: 1,city_popdensitytotal_2023,People Near Rapid Transport
0,Орехово-Борисово Южное,admin_level 8,103638.104588432,0.453422881372925
1,район Зябликово,admin_level 8,122347.500559548,0.797625801514444
2,район Братеево,admin_level 8,112284.785902292,0.601529829328292
3,район Капотня,admin_level 8,35090.9131847649,0.0
4,район Марьино,admin_level 8,209950.278499194,0.555871519768099
5,район Бирюлёво Западное,admin_level 8,100501.302507661,2.25932428551753e-05
6,район Бирюлёво Восточное,admin_level 8,154856.68075449,0.022115000981816
7,район Орехово-Борисово Северное,admin_level 8,140336.507966185,0.569500446669285
8,район Царицыно,admin_level 8,111343.2496329,0.41294748460045
9,район Москворечье-Сабурово,admin_level 8,105984.015464184,0.289654155396975
10,Нагорный район,admin_level 8,108797.373976626,0.869524105334636
11,район Нагатино-Садовники,admin_level 8,81623.5686583647,0.297339939668224
12,район Нагатинский Затон,admin_level 8,94299.2075488606,0.530987795028296
13,район Люблино,admin_level 8,181304.605978576,0.349019456162188
14,район Некрасовка,admin_level 8,32530.6163795354,0.234949076965295
15,район Выхино-Жулебино,admin_level 8,193165.518689681,0.582828624193355
16,район Кузьминки,admin_level 8,125167.765480827,0.556934300835435
17,район Текстильщики,admin_level 8,80121.9968755249,0.408832849211847
18,район Косино-Ухтомский,admin_level 8,96124.004868751,0.291431967865619
19,Рязанский район,admin_level 8,108941.473854527,0.596652281221574
20,район Вешняки,admin_level 8,145646.342997332,0.0843045798704032
21,район Печатники,admin_level 8,161585.55532382,0.244107125306063
22,Даниловский район,admin_level 8,131314.128009951,0.503518945754291
23,Южнопортовый район,admin_level 8,54873.9393904151,0.902339021657919
24,Нижегородский район,admin_level 8,82692.6990642466,0.470687716441466
25,район Замоскворечье,admin_level 8,56069.8179635792,0.946270695748534
26,Таганский район,admin_level 8,113520.610445469,0.777759465162292
27,район Лефортово,admin_level 8,100054.314990847,0.470118431432693
28,Басманный район,admin_level 8,110726.492516568,0.819224514562793
29,район Соколиная Гора,admin_level 8,97154.2040709516,0.637906045690456
30,район Новокосино,admin_level 8,68360.4762982229,0.574674891702875
31,район Новогиреево,admin_level 8,72892.4182934429,0.735969497784737
32,район Перово,admin_level 8,115579.665992252,0.425747546399171
33,район Ивановское,admin_level 8,123190.645276669,0.0794790807057385
34,район Измайлово,admin_level 8,98720.4437900388,0.511524953234082
35,район Восточное Измайлово,admin_level 8,25263.150904718,0.363456403477912
36,район Северное Измайлово,admin_level 8,50402.9064632658,0.344445160735761
37,район Гольяново,admin_level 8,163338.458325277,0.133794638427654
38,Красносельский район,admin_level 8,69795.3790507166,0.822450808836725
39,Мещанский район,admin_level 8,56001.9835327196,0.958661620334485
40,район Преображенское,admin_level 8,87028.3968238131,0.762258013991945
41,район Марьина Роща,admin_level 8,67624.8293008172,0.639773355295506
42,район Сокольники,admin_level 8,104633.280425683,0.333594852508933
43,Алексеевский район,admin_level 8,58696.5166329137,0.584251878241894
44,район Богородское,admin_level 8,116931.239097756,0.42403318447819
45,Останкинский район,admin_level 8,124405.065634896,0.304218056217403
46,район Ростокино,admin_level 8,38256.0338181976,0.623872562093273
47,район Метрогородок,admin_level 8,209737.133509052,0.0765472246973285
48,район Восточный,admin_level 8,9113.30907563195,0.0
49,район Свиблово,admin_level 8,64654.0467849296,0.742633027163778
50,Ярославский район,admin_level 8,78390.9090770999,0.0738716833284155
51,район Отрадное,admin_level 8,190910.756492987,0.358403182029419
52,Бабушкинский район,admin_level 8,95369.2819093857,0.684008430872871
53,район Южное Медведково,admin_level 8,80240.8645692301,0.065780703879513
54,Лосиноостровский район,admin_level 8,77259.039954899,0.0549528913839434
55,район Северное Медведково,admin_level 8,101002.252860545,0.49719582714523
56,район Бибирево,admin_level 8,114884.227480616,0.546920142656262
57,район Южное Бутово,admin_level 8,67976.2054361434,0.60232253314957
58,район Северное Бутово,admin_level 8,62124.9700030187,0.65854029386389
59,район Чертаново Южное,admin_level 8,135773.341969401,0.613083727187773
60,район Чертаново Центральное,admin_level 8,97185.0781470475,0.516888523301828
